Season,Mapped ESPN Team Name,Seed,Net Rating,Adjusted Tempo,Adjusted Offensive Efficiency,Avg Possession Length (Offense),eFGPct,TOPct,ORPct,FTRate,Off3PtFG,FTPct,Bench,Adjusted Defensive Efficiency,Avg Possession Length (Defense),DefFT,cinderella
2009,Minnesota,10,15.5,64.5,108.1,NA,49.5601,21.6882,35.5724,34.5454,25.84,71.8166,40.79,92.6,NA,21.8072,0
2004,Air Force,11,15.400000000000006,51.9,111.4,NA,58.1826,18.8931,24.5335,37.1711,42.3143,71.2389,NA,96,NA,21.8305,0
2023,Providence,11,15.400000000000006,66.7,116.2,17.8,51.1392405063291,16.8663278147319,34.7258485639687,36.3037974683544,25.6269592476489,74.1980474198047,27.41,100.8,17.4,15.962441314554,0
2018,Texas,10,15.400000000000006,65.2,109.5,18,49.9751243781095,16.9612805766835,29.3973941368078,32.9850746268657,30,66.5158371040724,28.95,94.1,18,16.2104362703165,0
2026,Missouri,10,15.400000000000006,66.2,119.5,17.3,55.3483269336259,17.9641737217254,35.5023923444976,42.4574876577071,27.0694389956846,68.6046511627907,35.52,104.1,17.8,20.2820406470344,0
2007,Gonzaga,10,15.299999999999995,67.1,115.3,NA,54.1128,18.6469,33.0377,39.4206,25.4505,75.0656,29.51,100,NA,21.3177,0
2012,Long Beach State,12,15.299999999999995,66.4,111.7,16.4,52.3473,19.067,34.2118,42.5339,26.6242,67.0213,20.89,96.4,19.1,16.9394,0
2021,Utah State,11,15.299999999999995,68.6,104.8,17,49.7909199522103,20.0814844851223,35.2822580645161,29.1517323775388,26.9478908188586,71.3114754098361,28.28,89.5,17.5,17.144495412844,0
2003,Colorado,10,15.299999999999995,69.9,109.1,NA,48.4176,19.4535,37.7897,38.7443,19.8337,66.9302,NA,93.8,NA,18.1697,0
2010,Florida,10,15.200000000000005,63.9,113,17.5,49.4267,18.5997,36.9963,33.4496,24.8065,70.3428,23.03,97.8,18.4,16.2533,0
2025,San Diego State,11,15.200000000000005,66.3,109.8,18.1,50.5266237565828,16.7736862796488,29.19921875,32.2995904037449,31.6618911174785,66.4855072463768,33.85,94.6,18.4,22.3246287762417,0
2022,Notre Dame,11,15.200000000000005,65.6,112.4,18.2,53.9590980597798,15.5564002137352,22.089825847846,27.2679601468275,37.469387755102,75.3846153846154,22.9,97.2,18.1,13.5667396061269,0
2025,Drake,11,15.100000000000009,59.4,112.9,21.9,53.8648813146683,18.4334093088717,35.3065539112051,42.665855143031,28.1291463954003,70.0427960057061,24.53,97.8,18.1,20.7452165156093,0
2009,Utah State,11,15.100000000000009,60,116.7,NA,55.6876,17.9132,36.4879,37.5778,26.7966,74.5482,23.64,101.6,NA,19.3016,0
2011,Michigan State,10,15.099999999999994,65,109.5,17.4,48.6383,20.1857,35.2606,36.6013,28.1915,69.9405,30.82,94.4,18.8,21.1969,0
2015,Georgia,10,15.099999999999994,64.1,109.6,19,48.4971,19.188,32.1716,47.7457,24.5333,69.2494,29.19,94.5,17.8,21.2335,0
2026,UCF,10,15.099999999999994,69.2,120.5,16.1,52.8259791769955,15.7136429974432,34.4048653344917,30.8378780366881,29.0621381705905,73.9549839228296,31.47,105.4,18.1,19.9920350457985,0
2010,Murray State,13,15,65.6,109,17.7,55.1093,21.8101,39.6058,42.0219,25.5194,69.4408,36.11,94,17.7,21.4079,0
2017,Middle Tennessee,12,15,64.6,112.2,18.4,54.1355256601893,15.5846392285173,30.2055406613047,29.9950174389636,25.7803468208092,70.0996677740864,29.17,97.2,17.8,22.192393736017902,0
2013,Belmont,11,15,65.9,111.6,16.6,56.5029,19.5754,29.6566,32.7746,32.5179,73.3686,25.38,96.6,18.5,21.3861,0
2004,Richmond,11,15,62.7,105.9,NA,46.2437,19.8571,34.0026,36.0601,26.4913,72.0679,NA,90.9,NA,21.8432,0
2004,South Carolina,10,15,65.5,109.7,NA,49.23,19.3598,34.6403,35.4209,28.4515,67.3913,NA,94.7,NA,19.9531,0
2015,Davidson,10,15,66.7,119.7,17.8,55.3523,14.1172,29.6126,28.51,40.5439,69.6226,28.03,104.7,17.8,18.2831,0
2021,VCU,10,15,69.6,105.2,16,50.8904109589041,20.6360981984251,28.4705882352941,34.041095890411,27.0386266094421,76.056338028169,35.43,90.2,18,21.133412042503,0
2006,Air Force,13,14.900000000000006,54.7,113.2,NA,58.0866,19.1904,25.2638,32.8018,42.0939,74.7685,NA,98.3,NA,18.3686,0
2007,Winthrop,11,14.900000000000006,61.9,112.9,NA,54.3581,19.6047,35.3816,34.0989,32.8507,62.867,32.87,98,NA,18.464,0
2022,Davidson,10,14.899999999999991,64.7,116.8,18.4,55.6567328918322,14.766937700544,23.6043095004897,32.5055187637969,34.9857781389679,75.3820033955857,24.63,101.9,18.1,17.2477064220184,0
2024,Grand Canyon,12,14.800000000000011,68.5,112.9,16.6,51.40625,17.7662430831395,34.0811044003451,46.6666666666667,26.3137996219282,74.8883928571429,25.16,98.1,17.8,20.862676056338,0
2022,Miami,10,14.800000000000011,67.7,113.9,17.4,53.3473782771536,13.972828406125,22.3980016652789,28.8389513108614,28.1798245614035,74.1883116883117,18.06,99.1,17.9,13.8301959277756,0
2014,Arizona State,10,14.799999999999995,67.4,111.2,16.6,52.3758,16.2517,24.4987,42.4946,32.3411,69.3774,19.54,96.4,18.1,20.6897,0
2013,Middle Tennessee,11,14.799999999999995,63.4,107.3,17.7,51.1723,20.6599,36.535,41.3849,22.578,69.5652,41.87,92.5,18.6,23.4043,0
2008,Baylor,11,14.799999999999995,70.1,115.7,NA,51.9301,16.9683,32.1145,35.8894,31.3075,74.1279,32.77,100.9,NA,22.3752,0
2011,Penn State,10,14.799999999999995,59.4,113.1,20.9,50.0572,17.8708,32.2504,31.1213,30.2239,72.4265,17.51,98.3,19.1,16.698,0
2023,USC,10,14.799999999999995,68,112.3,16.9,51.2506652474721,18.0877698000419,28.8640595903166,33.2091538052155,26.8506900878294,74.5192307692308,24.47,97.5,18.2,19.1996402877698,0
